Nama Tempat,Kategori Tempat,Wilayah,Peringkat Validasi,Platform,KET,Rating Tempat,User Rating,Harga Masuk,RatingNorm,ReviewNorm,TicketNorm,TicketScore,Popularitas,Persentase Kontribusi,Persentase Kumulatif,Kategori ABC,Alamat,Google Maps
Caringin Tilu,Cagar Alam,Kota Bandung,,,Tidak Sesuai,4.4,24,0,0.545454545,0.5,0,1,0.622727273,0.837287394,51.56699582,A,"4MR8+F39, Jl. Padasuka Atas No.11, Cimenyan, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40197",https://maps.app.goo.gl/3uR7zKvSiYFYzyyAA
Bukit Gantole Cililin,Cagar Alam,Kota Bandung,,"Tidak terdaftar (Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.4,24,0,0.545454545,0.5,0,1,0.622727273,0.837287394,52.40428321,A,"Singajaya, Kec. Cihampelas, Kabupaten Bandung Barat, Jawa Barat 40562",https://maps.app.goo.gl/63YtSVsqYESbRGzc6
Jembatan Pasupati,Taman Hiburan,Kota Bandung,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.6,16,0,0.727272727,0.192307692,0,1,0.621328671,0.835406906,53.23969012,A,"4J24+8J7, Tamansari, Bandung Wetan, Bandung City, West Java 40116",https://maps.app.goo.gl/j94utuAn3z5LmC8TA
Museum Sri Baduga,Budaya,Kota Bandung,128,Tripadvisor,Sesuai,4.5,20,3000,0.636363636,0.346153846,0.008,0.992,0.620427972,0.834195872,54.07388599,A,"Jl. BKR No.185, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40243",https://maps.app.goo.gl/Kzeg9QG9eADousZc9
Farm House Susu Lembang,Taman Hiburan,Lembang,8,Traveloka,Sesuai,4.4,25,30000,0.545454545,0.538461538,0.08,0.92,0.618265734,0.831288637,54.90517462,A,"Jl. Raya Lembang No.108, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/yE2AG6t4Fvwj3zjd9
Amazing Art World,Budaya,Kota Bandung,52,Tripadvisor,Sesuai,4.5,23,75000,0.636363636,0.461538462,0.2,0.8,0.616643357,0.82910727,55.7342819,A,"Jl. Dr. Setiabudi No.293-295, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",https://maps.app.goo.gl/pvKL8xEk6LQdBaaZ6
Sunrise Point Cukul,Cagar Alam,Kota Bandung,163,Tripadvisor,Sesuai,4.6,16,10000,0.727272727,0.192307692,0.026666667,0.973333333,0.615995338,0.828235977,56.56251787,A,"QG8Q+J2R, Jl. Cukul, Sukaluyu, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378",https://maps.app.goo.gl/HCWQNJaRCb4tbuGA9
Museum Barli,Budaya,Kota Bandung,253,Tripadvisor,Sesuai,4.4,24,15000,0.545454545,0.5,0.04,0.96,0.614727273,0.826531001,57.38904887,A,"Jl. Prof. Dr. Sutami No.91, Sukarasa, Kec. Sukasari, Kota Bandung, Jawa Barat 40152",https://maps.app.goo.gl/314dD95DjK1cj2MF6
Kota Mini,Taman Hiburan,Lembang,4,Tripadvisor,Sesuai,4.4,24,20000,0.545454545,0.5,0.053333333,0.946666667,0.612060606,0.822945537,58.21199441,A,"Jl. Grand Hotel No.33E, Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/7hKQQbioFXc9umEU8
Lembang Park & Zoo,Cagar Alam,Lembang,9,Traveloka,Sesuai,4.5,21,50000,0.636363636,0.384615385,0.133333333,0.866666667,0.606899767,0.816006535,59.02800095,A,"Jl. Kolonel Masturi No.171, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/ATx4yGLbdJ3aTbra7
Situ Patenggang,Cagar Alam,Ciwidey,2,Tripadvisor,Sesuai,4.5,19,20000,0.636363636,0.307692308,0.053333333,0.946666667,0.599822844,0.806491265,59.83449221,A,"Patengan, Rancabali, Bandung Regency, West Java",https://maps.app.goo.gl/WYMSc1CSgPbSzj7o8
Batununggal Indah Club,Taman Hiburan,Kota Bandung,154,Tripadvisor,Sesuai,4.4,25,70000,0.545454545,0.538461538,0.186666667,0.813333333,0.596932401,0.802604923,60.63709713,A,"Jl. Batununggal Indah IX No.2, Mengger, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266",https://maps.app.goo.gl/i7gyTzDkY5UzUrjBA
Kampung Batu Malakasari,Taman Hiburan,Kota Bandung,266,Tripadvisor,Sesuai,4.1,34,10000,0.272727273,0.884615385,0.026666667,0.973333333,0.596414918,0.801909142,61.43900628,A,"Jl. Rancabungur, Malakasari, Kec. Baleendah, Kabupaten Bandung, Jawa Barat 40375",https://maps.app.goo.gl/3sNri7c4Eyef2mWs5
Taman Lalu Lintas Ade Irma Suryani Nasution,Taman Hiburan,Kota Bandung,54,Tripadvisor,Sesuai,4.4,22,7000,0.545454545,0.423076923,0.018666667,0.981333333,0.595917016,0.801239688,62.24024596,A,"Jl. Belitung No.1, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113",https://maps.app.goo.gl/XHpWUMfNPRWDbdkr7
Gua Belanda,Cagar Alam,Kota Bandung,17,Tripadvisor,Sesuai,4.4,22,15000,0.545454545,0.423076923,0.04,0.96,0.59165035,0.795502945,63.03574891,A,"4JWQ+647, Jl. Pakar Bar., Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198",https://maps.app.goo.gl/LdqKcWHZ4haYssem8
Bukit Bintang,Cagar Alam,Kota Bandung,68,Tripadvisor,Sesuai,4.6,14,25000,0.727272727,0.115384615,0.066666667,0.933333333,0.584918415,0.786451528,63.82220044,A,"5M5G+7PQ, Unnamed Road, Cimenyan, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40197",https://maps.app.goo.gl/z7No1KGjscbQgQVw6
Gunung Manglayang,Cagar Alam,Lembang,,,Tidak Sesuai,4.5,17,7500,0.636363636,0.230769231,0.02,0.98,0.583412587,0.784426869,64.60662731,A,"Ciporeat, Cilengkrang, Bandung Regency, West Java",https://maps.app.goo.gl/tE74x5yBukpf6DWYA
Taman Begonia,Cagar Alam,Kota Bandung,5,Tripadvisor,Sesuai,4.4,21,10000,0.545454545,0.384615385,0.026666667,0.973333333,0.582778555,0.783574381,65.39020169,A,"Jl. Maribaya No.120 A, Langensari, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/iw5B2qRMAmiNLUg7A
Curug Malela,Cagar Alam,Kota Bandung,144,Tripadvisor,Sesuai,4.4,21,10000,0.545454545,0.384615385,0.026666667,0.973333333,0.582778555,0.783574381,66.17377607,A,"Sindangjaya, Gununghalu, West Bandung Regency, West Java",https://maps.app.goo.gl/2tCsC5fQQhxKE7G66
Jendela Alam,Taman Hiburan,Kota Bandung,57,Tripadvisor,Sesuai,4.4,21,20000,0.545454545,0.384615385,0.053333333,0.946666667,0.577445221,0.776403453,66.95017952,A,"Jl. Puspa Raya No.KM, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559",https://maps.app.goo.gl/1N13zzUHXqgjK7o69
Sungai Palayangan,Cagar Alam,Pangalengan,4,Tripadvisor,Sesuai,4.6,19,150000,0.727272727,0.307692308,0.4,0.6,0.575944056,0.774385062,67.72456458,A,"Jl. Situ Cileunca, Warnasari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378",https://maps.app.goo.gl/1NT6qEFdss6aCoy88
Taman Badak,Taman Hiburan,Kota Bandung,22,Tripadvisor,Sesuai,4.5,16,0,0.636363636,0.192307692,0,1,0.575874126,0.774291038,68.49885562,A,"Jl. Wastukencana No.2, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",https://maps.app.goo.gl/eejNLHE8XZZ8rrAW9
The Great Asia Africa,Taman Hiburan,Lembang,55,Agoda,Sesuai,4.4,22,50000,0.545454545,0.423076923,0.133333333,0.866666667,0.572983683,0.770404695,69.26926032,A,"Jl. Raya Lembang - Bandung No.71, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/Hbe9A22vr1JeBNeb7
Monumen Bandung Lautan Api,Budaya,Kota Bandung,71,Tripadvisor,Sesuai,4.3,23,0,0.454545455,0.461538462,0,1,0.565734266,0.760657498,70.02991782,A,"3J83+FX7, Jl. BKR, Ciateul, Kec. Regol, Kota Bandung, Jawa Barat 40252",https://maps.app.goo.gl/MfPpkNowQyQPFLFj9
Situ Cileunca,Cagar Alam,Pangalengan,75,Tripadvisor,Sesuai,4.4,19,2500,0.545454545,0.307692308,0.006666667,0.993333333,0.563701632,0.757924522,70.78784234,A,"Danau, Pangalengan, Bandung Regency, West Java",https://maps.app.goo.gl/mfhBUM9NrSUg2vgG7
Chingu Cafe Little Seoul,Taman Hiburan,Kota Bandung,95,Tripadvisor,Sesuai,4.5,17,50000,0.636363636,0.230769231,0.133333333,0.866666667,0.560745921,0.753950423,71.54179276,A,"Jl. Sawunggaling No.10, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116",https://maps.app.goo.gl/ibqV43oKbzxjCqwD9
Bukit Jamur,Cagar Alam,Ciwidey,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.2,27,12000,0.363636364,0.615384615,0.032,0.968,0.560033566,0.752992628,72.29478539,A,"RC8V+8P, Sugihmukti, Kec. Pasirjambu, Kabupaten Bandung, Jawa Barat 40972",https://maps.app.goo.gl/9GEe4KZHfEg7X4q19
Taman Miniatur Kereta Api,Taman Hiburan,Lembang,9,Tripadvisor,Sesuai,4.4,19,15000,0.545454545,0.307692308,0.04,0.96,0.557034965,0.748960861,73.04374625,A,"Jl. Raya Lembang No.165, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/iXrDQp1cozzXPXzo8
Bandros City Tour,Budaya,Kota Bandung,22,Tripadvisor,Sesuai,4.4,20,40000,0.545454545,0.346153846,0.106666667,0.893333333,0.555240093,0.746547568,73.79029382,A,"3JH4+2PG, Jl. Dalem Kaum, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",https://maps.app.goo.gl/GfUvn7FkVsqd8AYr9
Taman Lansia,Taman Hiburan,Kota Bandung,85,Tripadvisor,Sesuai,4.4,18,0,0.545454545,0.269230769,0,1,0.553496503,0.744203226,74.53449704,A,"3JXC+49W, Cisangkuy St, Citarum, Bandung Wetan, Bandung City, West Java 40115",https://maps.app.goo.gl/rEzBisTChUJwXzyE7
Curug Luhur Waterfall,Cagar Alam,Lembang,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.2,26,5000,0.363636364,0.576923077,0.013333333,0.986666667,0.552228438,0.74249825,75.27699529,A,"5PW6+3VR, Jl. Barukisu Kp. Gandok, Suntenjaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/fDdRsZHm7GB9BRFa8
Taman Budaya Jawa Barat,Budaya,Dago,,,Tidak Sesuai,4.3,22,15000,0.454545455,0.423076923,0.04,0.96,0.546195804,0.734387077,76.01138237,A,"Jl. Bukit Dago Selatan No.53A, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",https://maps.app.goo.gl/bu4h8g7dMo8PsneY7
Kiara Artha Park,Taman Hiburan,Kota Bandung,,,Tidak Sesuai,4.4,18,15000,0.545454545,0.269230769,0.04,0.96,0.545496503,0.733446833,76.7448292,A,"Jl. Banten, Kebonwaru, Kec. Batununggal, Kota Bandung, Jawa Barat 40272",https://maps.app.goo.gl/VZi3ifBdEdDGgBLn9
Roemah Seni Sarasvati,Budaya,Kota Bandung,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.4,17,5000,0.545454545,0.230769231,0.013333333,0.986666667,0.539291375,0.725103733,77.46993294,A,"Jl. Jend. Sudirman No.137, Karanganyar, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",https://maps.app.goo.gl/TiJphNRwNdAgxGBr6
Curug Bugbrug,Cagar Alam,Kota Bandung,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.3,21,7500,0.454545455,0.384615385,0.02,0.98,0.538657343,0.724251245,78.19418418,A,"6H5J+52, Kertawangi, Cisarua, West Bandung Regency, West Java 40551",https://maps.app.goo.gl/UqGgQ6gCsH3RVb1F6
Glamping Lakeside Rancabali,Taman Hiburan,Ciwidey,1,Tripadvisor,Sesuai,4.4,18,30000,0.545454545,0.269230769,0.08,0.92,0.537496503,0.72269044,78.91687462,A,"Jalan Raya Ciwidey No.Km, RW.39, Situ, Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973",https://maps.app.goo.gl/Y9H3MzfRLWxMjn6s5
Tafso Barn,Cagar Alam,Dago,5,Tripadvisor,Sesuai,4.2,24,0,0.363636364,0.5,0,1,0.531818182,0.715055658,79.63193028,A,"Jalan Raya Ciwidey No.Km, RW.39, Situ, Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973",https://maps.app.goo.gl/Y9H3MzfRLWxMjn6s5
