Nama Tempat,Kategori Tempat,Wilayah,Peringkat Validasi,Platform,KET,Rating Tempat,User Rating,Harga Masuk,RatingNorm,ReviewNorm,TicketNorm,TicketScore,Popularitas,Persentase Kontribusi,Persentase Kumulatif,Kategori ABC,Alamat,Google Maps
Museum Pos Indonesia,Budaya,Kota Bandung,81,Tripadvisor,Sesuai,4.5,28,10000,0.636363636,0.653846154,0.026666667,0.973333333,0.709002331,0.953288446,23.03917792,A,"Cilaki St No.73, Citarum, Bandung Wetan, Bandung City, West Java 40115",https://maps.app.goo.gl/Dj6eFGvE7U7uiqe39
Museum Geologi Bandung,Budaya,Kota Bandung,9,Tripadvisor,Sesuai,4.6,23,2000,0.727272727,0.461538462,0.005333333,0.994666667,0.701031235,0.942570917,23.98174883,A,"Jl. Diponegoro No.57, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",https://maps.app.goo.gl/k4DUxLWSn37Pkk848
Gedung Sate,Budaya,Kota Bandung,15,Tripadvisor,Sesuai,4.6,23,5000,0.727272727,0.461538462,0.013333333,0.986666667,0.699431235,0.940419638,24.92216847,A,"Jl. Diponegoro No.22, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",https://maps.app.goo.gl/viAvVM6qciH3x2cF6
GunungTangkuban perahu,Cagar Alam,Lembang,3,Tripadvisor,Sesuai,4.5,28,30000,0.636363636,0.653846154,0.08,0.92,0.698335664,0.938946589,25.86111506,A,"Cikahuripan, Lembang, West Bandung Regency, West Java",https://maps.app.goo.gl/npPxhFiuuR15KGtW6
Rainbow Garden,Cagar Alam,Kota Bandung,9,Tripadvisor,Sesuai,4.6,23,20000,0.727272727,0.461538462,0.053333333,0.946666667,0.691431235,0.929663245,26.79077831,A,"5JJ9+R9H, Lembang, West Bandung Regency, West Java 40391",https://maps.app.goo.gl/WWfj5Q4mgDuYtECZ9
Orchid Forest Cikole,Taman Hiburan,Lembang,1,Tripadvisor,Sesuai,4.6,24,50000,0.727272727,0.5,0.133333333,0.866666667,0.686969697,0.923664488,27.71444279,A,"Genteng, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/guVMSyovaMpQaSQN6
Tempat Wisata Alam Cikole,Cagar Alam,Lembang,8,Tripadvisor,Sesuai,4.6,22,20000,0.727272727,0.423076923,0.053333333,0.946666667,0.679892774,0.914149217,28.62859201,A,"Jl. Raya Tangkuban Parahu No.8, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/nH9BopoQUZieWHCA8
Bumi Perkemahan Batu Kuda,Cagar Alam,Kota Bandung,3,Trip.com,Sesuai,4.5,25,7500,0.636363636,0.538461538,0.02,0.98,0.67572028,0.908539094,29.53713111,A,"4P4W+R5M, Cikoneng Satu, Cibiru Wetan, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat 40625",https://maps.app.goo.gl/2TYFjmHCZJTh3r679
Sudut Pandang Bandung,Taman Hiburan,Lembang,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.6,23,50000,0.727272727,0.461538462,0.133333333,0.866666667,0.675431235,0.90815046,30.44528157,A,"Jl. Pagermaneuh, RT.05/RW.07, Pagerwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://maps.app.goo.gl/oivdcF8Zst5TQWyRA
Museum Mandala Wangsit Siliwangi,Budaya,Kota Bandung,251,Tripadvisor,Sesuai,4.4,29,10000,0.545454545,0.692307692,0.026666667,0.973333333,0.675086247,0.907686606,31.35296817,A,"Jl. Lembong No.38, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111",https://maps.app.goo.gl/sNikKc8TtZQY1GUA7
Taman Hutan Raya Ir. H. Djuanda,Cagar Alam,Lembang,30,Tripadvisor,Sesuai,4.5,25,11000,0.636363636,0.538461538,0.029333333,0.970666667,0.673853613,0.906029269,32.25899744,A,"Jl. Pakar Bar. Jl. Ir. H. Juanda No.99, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198",https://maps.app.goo.gl/f83PV1eVQHbzUjp69
Curug Aseupan,Cagar Alam,Lembang,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.7,17,10000,0.818181818,0.230769231,0.026666667,0.973333333,0.672988345,0.904865874,33.16386331,A,"6H6J+XWF, Cihanjuang Rahayu, Parongpong, West Bandung Regency, West Java 40551",https://maps.app.goo.gl/h1mR8pJjYpbtADVPA
Tebing Karaton,Cagar Alam,Dago,36,Tripadvisor,Sesuai,4.5,25,15000,0.636363636,0.538461538,0.04,0.96,0.67172028,0.903160898,34.06702421,A,"Puncak Kordon, Cihargem Puncak, RT.2/RW.10, Ciburial, Kec. Cimenyan, Bandung Barat, Jawa Barat 40198",https://maps.app.goo.gl/qoPUMf9T99Rf3FYh7
Kawah Putih,Cagar Alam,Ciwidey,1,Tripadvisor,Sesuai,4.5,28,81000,0.636363636,0.653846154,0.216,0.784,0.671135664,0.902374854,34.96939907,A,"Sugihmukti, Pasirjambu, Bandung Regency, West Java",https://maps.app.goo.gl/uH6xpRNtWePaAicm6
Curug Cimahi,Cagar Alam,Lembang,42,Tripadvisor,Sesuai,4.6,21,15000,0.727272727,0.384615385,0.04,0.96,0.671020979,0.902220654,35.87161972,A,"Jl. Kolonel Masturi, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551",https://maps.app.goo.gl/kiNZDzXfJbaUmBQNA
Jalan Braga,Budaya,Kota Bandung,20,Tripadvisor,Sesuai,4.7,16,0,0.818181818,0.192307692,0,1,0.666783217,0.896522774,36.76814249,A,"Sumurbandung, Bandung City, West Java",https://maps.app.goo.gl/CGHBcR81gNjMrzi28
