Nama Tempat,Kategori Tempat,Wilayah,Rating Tempat,User Rating,Harga Masuk,RatingNorm,ReviewNorm,TicketNorm,TicketScore,Popularitas,Persentase Kontribusi,Persentase Kumulatif,Kategori ABC
Roemah Seni Sarasvati,Budaya,Kota Bandung,4.4,17,5000,0.5454545454545459,0.23076923076923073,0.013333333333333334,0.9866666666666667,0.5392913752913755,0.7251037333734439,77.46993293602213,A
Curug Bugbrug,Cagar Alam,Kota Bandung,4.3,21,7500,0.4545454545454546,0.3846153846153846,0.02,0.98,0.5386573426573427,0.7242512453658814,78.19418418138801,A
Glamping Lakeside Rancabali,Taman Hiburan,Ciwidey,4.4,18,30000,0.5454545454545459,0.26923076923076916,0.08,0.92,0.5374965034965037,0.7226904401167419,78.91687462150475,A
Tafso Barn,Cagar Alam,Dago,4.2,24,0,0.3636363636363642,0.5,0.0,1.0,0.5318181818181822,0.7150556578137213,79.63193027931847,A
Pasar Baru,Pusat Perbelanjaan,Kota Bandung,4.3,20,0,0.4545454545454546,0.34615384615384615,0.0,1.0,0.5311188811188812,0.714115413687733,80.3460456930062,B
The Lodge Maribaya,Cagar Alam,Lembang,4.3,21,25000,0.4545454545454546,0.3846153846153846,0.06666666666666667,0.9333333333333333,0.5293240093240094,0.711702120431031,81.05774781343723,B
Panama Park 825,Taman Hiburan,Kota Bandung,4.4,18,50000,0.5454545454545459,0.26923076923076916,0.13333333333333333,0.8666666666666667,0.526829836829837,0.7083485830483414,81.76609639648558,B
Stone Garden Citatah,Taman Hiburan,Lembang,4.4,17,30000,0.5454545454545459,0.23076923076923073,0.08,0.92,0.5259580419580422,0.7071764120379433,82.47327280852352,B
Pemandian Air Panas Ciater,Cagar Alam,Ciater,4.3,20,15000,0.4545454545454546,0.34615384615384615,0.04,0.96,0.5231188811188812,0.7033590208864327,83.17663182940996,B
Teras Cikapundung BBWS,Taman Hiburan,Kota Bandung,4.3,19,0,0.4545454545454546,0.3076923076923077,0.0,1.0,0.5195804195804197,0.6986013856089344,83.8752332150189,B
Pesona Nirwana Waterpark & Cottages,Taman Hiburan,Ciwidey,4.1,29,50000,0.2727272727272725,0.6923076923076923,0.13333333333333333,0.8666666666666667,0.5173892773892772,0.6956552873475056,84.5708885023664,B
Ciwangun Indah Camp Official,Cagar Alam,Kota Bandung,4.3,19,10000,0.4545454545454546,0.3076923076923077,0.02666666666666667,0.9733333333333334,0.5142470862470863,0.691430457074734,85.26231895944113,B
Wisata Batu Kuda,Cagar Alam,Kota Bandung,4.4,15,10000,0.5454545454545459,0.15384615384615385,0.02666666666666667,0.9733333333333334,0.5135477855477858,0.6904902129487465,85.95280917238988,B
Peta Park,Taman Hiburan,Kota Bandung,4.3,19,15000,0.4545454545454546,0.3076923076923077,0.04,0.96,0.5115804195804197,0.687844992807634,86.64065416519752,B
Happyfarm Ciwidey,Cagar Alam,Lembang,4.2,22,15000,0.3636363636363642,0.42307692307692313,0.04,0.96,0.500741258741259,0.6732712088548233,87.31392537405235,B
Taman Vanda,Taman Hiburan,Kota Bandung,4.3,18,20000,0.4545454545454546,0.26923076923076916,0.05333333333333334,0.9466666666666667,0.4973752913752914,0.6687455004617351,87.98267087451408,B
Puspa Iptek Sundial,Taman Hiburan,Padalarang,4.4,14,25000,0.5454545454545459,0.11538461538461542,0.06666666666666667,0.9333333333333333,0.4940093240093242,0.6642197920686473,88.64689066658273,B
Sendang Geulis Kahuripan,Cagar Alam,Padalarang,4.3,17,10000,0.4545454545454546,0.23076923076923073,0.02666666666666667,0.9733333333333334,0.49117016317016315,0.6604024009171366,89.30729306749987,B
Taman Jomblo,Taman Hiburan,Kota Bandung,4.1,24,10000,0.2727272727272725,0.5,0.02666666666666667,0.9733333333333334,0.4810303030303029,0.6467688610903134,89.95406192859018,B
Dago Dreampark,Taman Hiburan,Dago,4.2,20,40000,0.3636363636363642,0.34615384615384615,0.10666666666666667,0.8933333333333333,0.46433100233100255,0.6243158313617252,90.5783777599519,B
Mountain View Golf Club,Cagar Alam,Dago,4.4,27,375000,0.5454545454545459,0.6153846153846154,1.0,0.0,0.45734265734265755,0.6149196583960205,91.19329741834792,B
Trans Studio Bandung,Taman Hiburan,Kota Bandung,4.5,18,280000,0.6363636363636367,0.26923076923076916,0.7466666666666667,0.2533333333333333,0.4496177156177158,0.6045330949509419,91.79783051329886,B
Curug Batu Templek,Cagar Alam,Kota Bandung,4.1,21,5000,0.2727272727272725,0.3846153846153846,0.013333333333333334,0.9866666666666667,0.44908158508158497,0.6038122411210175,92.40164275441988,B
Lereng Anteng Panoramic Coffee Place,Cagar Alam,Kota Bandung,4.4,11,50000,0.5454545454545459,0.0,0.13333333333333333,0.8666666666666667,0.44606060606060627,0.5997503864967507,93.00139314091663,B
Panghegar Waterboom Bandung,Taman Hiburan,Kota Bandung,4.3,16,75000,0.4545454545454546,0.1923076923076923,0.2,0.8,0.44496503496503503,0.5982773373660363,93.59967047828268,B
Curug Cilengkrang,Cagar Alam,Kota Bandung,4.0,23,7500,0.1818181818181821,0.46153846153846156,0.02,0.98,0.4253706293706295,0.5719316969558583,94.17160217523853,B
Taman Bunga Cihideung,Cagar Alam,Kota Bandung,4.1,18,0,0.2727272727272725,0.26923076923076916,0.0,1.0,0.417132867132867,0.5608556211517217,94.73245779639025,B
Water Park Bandung Indah,Taman Hiburan,Kota Bandung,4.0,24,50000,0.1818181818181821,0.5,0.13333333333333333,0.8666666666666667,0.4142424242424244,0.5569692787643058,95.28942707515455,C
